a52dec 0.7.4-11
accountsservice 0.6.55-2
acl 2.2.53-3
adobe-source-code-pro-fonts 2.030ro+1.050it-6
adwaita-icon-theme 3.36.1-1
alsa-lib 1.2.3.2-1
alsa-plugins 1:1.2.2-2
alsa-topology-conf 1.2.3-1
alsa-ucm-conf 1.2.3-2
alsa-utils 1.2.3-2
amd-ucode 20200721.2b823fc-1
aom 2.0.0-1
archlinux-keyring 20200622-1
argon2 20190702-3
aribb24 1.0.3-3
ark 20.04.3-2
asciidoc 9.0.2-1
at-spi2-atk 2.34.2-1
at-spi2-core 2.36.0-1
atk 2.36.0-1
atkmm 2.28.0-2
attica 5.73.0-1
attr 2.4.48-3
audacity 1:2.4.1-4
audit 2.8.5-6
augeas 1.12.0-2
autoconf 2.69-7
autofs 5.1.6-2
automake 1.16.2-3
avahi 0.8+15+ge8a3dd0-1
base 2-2
bash 5.0.017-1
bash-completion 2.11-1
bc 1.07.1-4
betterdiscordctl-git 1.7.0.r37.g785ad01-1
bind 9.16.5-2
binutils 2.34-5
bison 3.6.4-1
bluez 5.54-2
bluez-libs 5.54-2
boost-libs 1.72.0-2
bridge-utils 1.7-1
brltty 6.0-10
brotli 1.0.7-3
bspwm 0.9.10-1
btrfs-progs 5.7-1
bubblewrap 0.4.1-1
bzip2 1.0.8-3
c-ares 1.16.1-1
ca-certificates 20181109-4
ca-certificates-mozilla 3.55-2
ca-certificates-utils 20181109-4
cairo 1.17.2+25+gaee96d175-1
cairomm 1.12.2-4
cantarell-fonts 1:0.201-1
cava 0.7.2-1
cdparanoia 10.2-8
check 0.15.0-2
cinnamon-desktop 4.6.4-1
cmake 3.18.1-1
cmatrix 2.0-2
cmus 2.8.0-4
code 1.47.3-1
colord 1.4.4+9+g1ce26da-2
coreutils 8.32-1
cpu-x 4.0.1-1
cracklib 2.9.7-2
cronie 1.5.5-1
cryptsetup 2.3.3-1
cups 2.3.3-2
cups-filters 1.27.5-1
cups-pdf 3.0.1-5
curl 7.71.1-1
dav1d 0.7.1-1
db 5.3.28-5
dbus 1.12.20-1
dconf 0.36.0-1
debootstrap 1.0.123-1
desktop-file-utils 0.26-1
device-mapper 2.02.187-3
dhcpcd 9.1.4-2
dialog 1:1.3_20200327-1
diffutils 3.7-3
discord 0.0.11-1
dkms 2.8.3-1
dmidecode 3.2-2
dmraid 1.0.0.rc16.3-12
dnsmasq 2.82-1
dnssec-anchors 20190629-2
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
dosfstools 4.1-3
double-conversion 3.1.5-2
e2fsprogs 1.45.6-2
easytether-bin 0.8.9-1
ebtables 2.0.10_4-8
edk2-ovmf 202005-2
efibootmgr 17-1
efivar 37-4
egl-wayland 1.1.5-1
eglexternalplatform 1.1-2
electron7 7.1.14-7
elfutils 0.180-1
enchant 2.2.8-3
exempi 2.5.2-1
exfat-utils 1.3.0-2
expat 2.2.9-3
f2fs-tools 1.13.0-2
faad2 2.9.2-1
fakeroot 1.24-2
feh 3.4.1-1
ffmpeg 2:4.3.1-2
fftw 3.3.8-3
file 5.39-1
filelight 20.04.3-1
filesystem 2020.05.20-1
filezilla 3.46.3-1
findutils 4.7.0-2
flac 1.3.3-2
flake8 1:3.8.3-1
flameshot 0.6.0-4
flex 2.6.4-3
font-bh-ttf 1.0.3-6
fontconfig 2:2.13.91+48+gfcb0420-2
freetype2 2.10.2-1
fribidi 1.0.10-1
fuse-common 3.9.2-1
fuse2 2.9.9-4
fuse3 3.9.2-1
fuseiso 20070708-8
gawk 5.1.0-1
gc 8.0.4-4
gcc 10.1.0-2
gcc-libs 10.1.0-2
gcr 3.36-1
gd 2.3.0-1
gdbm 1.18.1-3
gdk-pixbuf2 2.40.0+6+g5432316df-1
gdm 3.36.3-3
geoclue 2.5.6-1
geocode-glib 3.26.2-1
gettext 0.20.2-1
ghostscript 9.52-1
giflib 5.2.1-2
git 2.28.0-1
gjs 2:1.64.4-1
glib-networking 2.64.3-2
glib2 2.64.4-1
glibc 2.31-5
glibmm 2.64.2-1
glslang 8.13.3743-1
gmp 6.2.0-1
gnome-autoar 0.2.4-2
gnome-bluetooth 3.34.1-1
gnome-desktop 1:3.36.5-1
gnome-disk-utility 3.36.3-1
gnome-session 3.36.0-1
gnome-settings-daemon 3.36.1-1
gnome-shell 1:3.36.4-1
gnome-themes-extra 3.28-2
gnu-free-fonts 20120503-8
gnupg 2.2.21-1
gnutls 3.6.14-2
gobject-introspection-runtime 1.64.1-2
google-chrome 84.0.4147.125-1
gpgme 1.14.0-1
gpm 1.20.7.r27.g1fd1941-2
gptfdisk 1.0.5-1
graphene 1.10.2-1
graphite 1:1.3.14-1
graphviz 2.44.1-3
grep 3.4-1
groff 1.22.4-3
grub 2:2.04-8
grub-customizer 5.1.0-2
gsettings-desktop-schemas 3.36.1-1
gsfonts 20180524-3
gsm 1.0.19-1
gst-plugins-base 1.16.2-2
gst-plugins-base-libs 1.16.2-2
gstreamer 1.16.2-2
gtk-update-icon-cache 1:3.24.22-1
gtk-vnc 1.0.0-2
gtk2 2.24.32-2
gtk3 1:3.24.22-1
gtkmm 1:2.24.5-4
gtkmm3 3.24.2-2
gtksourceview4 4.6.1-1
gtop 1.0.2-2
gts 0.7.6.121130-2
guile 2.2.6-2
gvfs 1.44.1-4
gzip 1.10-3
harfbuzz 2.7.0-1
harfbuzz-icu 2.7.0-1
haveged 1.9.13-1
hicolor-icon-theme 0.17-2
hidapi 0.9.0-2
hivex 1.3.18-7
htop 2.2.0-3
http-parser 2.9.4-1
hwids 20200306-1
hwloc 2.2.0-1
hyphen 2.8.8-3
i3-wm 4.18.2-2
iana-etc 20200720-1
icu 67.1-1
ijs 0.35-3
imagemagick 7.0.10.26-1
imlib2 1.7.0-1
inetutils 1.9.4-8
iniparser 4.1-2
iproute2 5.8.0-1
iptables 1:1.8.5-2
iputils 20190709-2
iso-codes 4.5.0-1
jack 0.125.0-9
jansson 2.13.1-1
jbig2dec 0.18-1
jfsutils 1.1.15-7
js68 68.11.0-1
json-c 0.15-1
json-glib 1.4.4-2
jsoncpp 1.9.3-1
karchive 5.73.0-1
